qid	doc_id	total_chunks	maxsim_chunk_idx	gt_chunk_idx	diff	abs_diff	maxsim_score
q-en-1001	doc-en-7617	95	52	52	0	0	0.6137
q-en-1005	doc-en-7644	88	57	56	1	1	0.6969
q-en-1009	doc-en-7671	101	51	50	1	1	0.5116
q-en-1010	doc-en-7679	104	66	65	1	1	0.7078
q-en-1013	doc-en-7699	91	77	76	1	1	0.4410
q-en-1015	doc-en-7714	117	112	22	90	90	0.2294
q-en-1017	doc-en-7730	89	46	45	1	1	0.7816
q-en-1018	doc-en-7562	128	65	8	57	57	0.5486
q-en-1023	doc-en-7768	110	75	74	1	1	0.6628
q-en-1024	doc-en-7775	97	68	67	1	1	0.7100
q-en-1029	doc-en-7811	108	68	67	1	1	0.6186
q-en-103	doc-en-496	108	74	39	35	35	0.6270
q-en-1030	doc-en-7819	115	0	68	-68	68	0.5808
q-en-1031	doc-en-7826	95	62	61	1	1	0.5791
q-en-1034	doc-en-7849	103	77	76	1	1	0.5075
q-en-1036	doc-en-7864	90	69	69	0	0	0.5660
q-en-1045	doc-en-7927	96	62	61	1	1	0.5404
q-en-1047	doc-en-7940	101	84	83	1	1	0.7236
q-en-1049	doc-en-7953	94	67	67	0	0	0.6422
q-en-105	doc-en-833	120	67	66	1	1	0.4297
q-en-1053	doc-en-7977	101	66	65	1	1	0.5033
q-en-1058	doc-en-8011	110	57	56	1	1	0.5610
q-en-106	doc-en-841	128	112	0	112	112	0.6125
q-en-1062	doc-en-8039	95	64	63	1	1	0.4869
q-en-1067	doc-en-8073	88	58	57	1	1	0.5981
q-en-1068	doc-en-8079	106	26	60	-34	34	0.4595
q-en-107	doc-en-849	113	67	67	0	0	0.5898
q-en-1071	doc-en-5700	103	56	55	1	1	0.6342
q-en-1072	doc-en-8107	115	87	86	1	1	0.4706
q-en-1075	doc-en-7665	98	51	50	1	1	0.4506
q-en-108	doc-en-857	128	70	69	1	1	0.6876
q-en-1081	doc-en-8165	100	82	80	2	2	0.5339
q-en-1087	doc-en-8206	124	29	4	25	25	0.3261
q-en-1091	doc-en-5599	94	56	56	0	0	0.4141
q-en-1092	doc-en-8238	94	74	73	1	1	0.6301
q-en-1097	doc-en-8272	94	63	62	1	1	0.5733
q-en-1098	doc-en-6274	102	52	51	1	1	0.8116
q-en-1099	doc-en-5864	111	62	62	0	0	0.6523
q-en-110	doc-en-873	128	100	99	1	1	0.6506
q-en-1103	doc-en-8307	118	87	86	1	1	0.4077
q-en-1105	doc-en-8322	90	47	47	0	0	0.4028
q-en-1107	doc-en-8334	100	73	72	1	1	0.6187
